id,title,vote_average,vote_count,status,release_date,revenue,runtime,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
108,Three Colors: Blue,7.676,1498,Released,1993-08-01,0,98,/s9rWmLANsVlSV4XmuC0IUcseGzO.jpg,0,,tt0108394,fr,Trois couleurs : Bleu,"Julie is haunted by her grief after living through a tragic auto wreck that claimed the life of her composer husband and young daughter. Her initial reaction is to withdraw from her relationships, lock herself in her apartment and suppress her pain. But avoiding human interactions on the bustling streets of Paris proves impossible, and she eventually meets up with Olivier, an old friend who harbors a secret love for her, and who could draw her back to reality.",21.126,https://image.tmdb.org/t/p/w500/33wsWxzsNstI8N7dvuwzFmj1qBd.jpg,,Drama,"France 3 Cinéma, CED Productions, Miramax","France, Poland, Switzerland","French, Polish","paris, france, composer, pain, to compose, loss of loved one"
963,The Maltese Falcon,7.728,1497,Released,1941-10-18,1772000,100,/5lMm0MmAviP6DF45nxBVOT9LCwK.jpg,375000,,tt0033870,en,The Maltese Falcon,"A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.",22.121,https://image.tmdb.org/t/p/w500/bf4o6Uzw5wqLjdKwRuiDrN1xyvl.jpg,A story as EXPLOSIVE as his BLAZING automatics!,"Mystery, Crime, Thriller",Warner Bros. Pictures,United States of America,English,"based on novel or book, san francisco, california, loss of loved one, detective, film noir, murder, statuette, whodunit, black and white, private detective, black bird, private eye"
76617,Texas Chainsaw 3D,5.445,1496,Released,2013-01-03,47340586,92,/eoIQMUeJDOG41way1pb5TjiPFFf.jpg,10000000,,tt1572315,en,Texas Chainsaw 3D,"A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.",33.684,https://image.tmdb.org/t/p/w500/dwIQ7WDCSiIcNdbferTcU7uI0KV.jpg,Evil wears many faces.,"Horror, Thriller","Nu Image, Lionsgate, Millennium Media",United States of America,English,"home, gore, sequel, leatherface, slasher, chainsaw, shattered home, violent death, bloody fight, blood lust, aftercreditsstinger, duringcreditsstinger, góry, sawing, hewitt"
287424,Maggie,5.365,1496,Released,2015-05-08,187112,95,/rHUKzMqqsrXQjRO8OobnKy2qZ4Z.jpg,4000000,http://www.maggiethefilm.com/,tt1881002,en,Maggie,"There's a deadly zombie epidemic threatening humanity, but Wade, a small-town farmer and family man, refuses to accept defeat even when his daughter Maggie becomes infected. As Maggie's condition worsens and the authorities seek to eradicate those with the virus, Wade is pushed to the limits in an effort to protect her. Joely Richardson co-stars in this post-apocalyptic thriller.",18.998,https://image.tmdb.org/t/p/w500/twa9gXjocLM629sJrQYVtmF306R.jpg,Don't Get Bitten.,"Horror, Drama, Mystery","Sly Predator, Lionsgate, Grindstone Entertainment Group, Lotus Entertainment, Silver Reel, Gold Star Films, Matt Baer Films, Vertigo Films","Switzerland, United Kingdom, United States of America",English,"dystopia, post-apocalyptic future, zombie"
746,The Last Emperor,7.624,1495,Released,1987-10-04,43984230,163,/k29qVmwWwR0i5A1UMIws1Vmv6hV.jpg,23000000,,tt0093389,en,The Last Emperor,"A dramatic history of Pu Yi, the last of the Emperors of China, from his lofty birth and brief reign in the Forbidden City, the object of worship by half a billion people; through his abdication, his decline and dissolute lifestyle; his exploitation by the invading Japanese, and finally to his obscure existence as just another peasant worker in the People's Republic.",19.387,https://image.tmdb.org/t/p/w500/7TILJhdeJAaEyDiwvJZMo9SQBoe.jpg,"1500 slaves. 353,260,000 royal subjects. Warlords. Concubines. And 2 wives. He was the loneliest boy in the world.","Drama, History","Hemdale Film Corporation, Soprofilms, TAO Film, Yanco, Columbia Pictures, Recorded Picture Company","China, France, Italy, United Kingdom","Chichewa; Nyanja, Mandarin, English, Japanese","suicide, experiment, china, isolation, buddhism, becoming an adult, war crimes, suicide attempt, war on drugs, revolution, drug addiction, opium, arranged marriage, world war ii, emperor, coup d'etat, manchuria, dynasty, reeducation camp, biography, based on true story, autobiography, teacher, beijing, china, dowager, decadence, communism, 1920s, 1940s, 1950s, 1910s, 1930s, japanese occupation of china, lgbt interest"
103332,Ruby Sparks,7.108,1493,Released,2012-07-25,9128263,104,/yJYFp97trLmcNAQb5A4SXXhNJU4.jpg,8000000,http://www.foxsearchlight.com/rubysparks/,tt1839492,en,Ruby Sparks,"Calvin is a young novelist who achieved phenomenal success early in his career but is now struggling with his writing – as well as his romantic life. Finally, he makes a breakthrough and creates a character named Ruby who inspires him. When Calvin finds Ruby, in the flesh, sitting on his couch about a week later, he is completely flabbergasted that his words have turned into a living, breathing person.",14.755,https://image.tmdb.org/t/p/w500/sTkrd0PJJA468EHOsv242785sOb.jpg,She's Out Of His Mind.,"Comedy, Romance, Fantasy, Drama","Bona Fide Productions, Fox Searchlight Pictures, DragonCove Studios",United States of America,"English, French","dream, imaginary friend, therapy, novelist, magic realism, woman director"
1639,Speed 2: Cruise Control,4.565,1491,Released,1997-06-13,164508066,125,/wmwEjQpqNXEIadsQoqWUS1pVVBi.jpg,160000000,,tt0120179,en,Speed 2: Cruise Control,"A disgruntled former employee hijacks the Seabourn Legend cruise liner. Set on a fixed course, without any means of communication and at the mercy of the hijacker, it's up to the one cop on vacation, and his soon to be fiancé (hopefully) Annie, to regain control of it before it kills the passengers and causes an environmental disaster. Insurmountable and daunting tasks awaits them on their  perilous journey throughout the ship trying to fend off the hijacker and save the passengers.",22.116,https://image.tmdb.org/t/p/w500/gnK1ocpwUTj24zAktzomOJsD2bu.jpg,"As the stakes get higher, the ride gets even faster.","Action, Adventure, Thriller","Blue Tulip Productions, 20th Century Fox",United States of America,"English, Portuguese","computer, diamond, boat, cruise, disaster, cruise ship, collision course"
55420,Another Earth,6.708,1491,Released,2011-07-22,1938783,92,/fJfpZnS2pvFCtyaDqoIgKLASvAT.jpg,100000,http://www.anotherearth.com/,tt1549572,en,Another Earth,"On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident.",17.378,https://image.tmdb.org/t/p/w500/qvGJK3lFzpifAdyIupMNdWNX0qr.jpg,,"Drama, Science Fiction","Artists Public Domain, Fox Searchlight Pictures",United States of America,"English, Ido","earth, tragedy, janitor, planet, cosmology, ego, solar system"
11017,Billy Madison,6.185,1491,Released,1995-02-10,26488734,90,/5ESLsrW33Kw2c3GeLNHrG4Ef9M5.jpg,10000000,,tt0112508,en,Billy Madison,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire, but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.",21.61,https://image.tmdb.org/t/p/w500/iwk9pWR6MwTInEQc8Vw5vGHjeQ0.jpg,Billy is going back to school... Way back.,Comedy,"Jack Giarraputo Productions, Universal Pictures",United States of America,"French, Spanish, English","family business , school, woman director, back to school"
152747,All Is Lost,6.6,1491,Released,2013-08-23,6108720,106,/tGy0zyeljUFV20qjVmAigwnlWKv.jpg,9000000,http://allislostfilm.com,tt2017038,en,All Is Lost,"During a solo voyage in the Indian Ocean, a veteran mariner awakes to find his vessel taking on water after a collision with a stray shipping container. With his radio and navigation equipment disabled, he sails unknowingly into a violent storm and barely escapes with his life. With any luck, the ocean currents may carry him into a shipping lane -- but, with supplies dwindling and the sharks circling, the sailor is forced to face his own mortality.",15.682,https://image.tmdb.org/t/p/w500/9cVA4oX2xHgiglv6hemxwAaofsq.jpg,Never give up.,"Action, Adventure, Drama","Before the Door Pictures, Washington Square Films, Black Bear Pictures, Treehouse Pictures, Sudden Storm Productions, FilmNation Entertainment",United States of America,English,"sea, yacht, alone, dying of thirst, struggle for survival, sailor, storm at sea, unconsciousness, life raft, container, navigation, emergency, distress, indian ocean, survival at sea, one man film"
